RAh RAm RAs DEd DEm DEs GLON GLAT F12 F25 F60 F100 CZ D LIR1 LIR2
10 19 55.6 45 32 54 171.22 54.83 0.71 1.08 7.15 18.44 663 13.79 9.62 9.75
10 20 0.1 8 13 31 233.59 49.52 0.19 0.55 5.61 5.86 14669 198.65 11.7 11.8
10 22 20.5 21 34 10 213.98 55.71 0.52 0.93 7.72 18.76 3971 58.68 10.9 11
10 23 31.4 19 51 50 217 55.45 0.94 1.83 8.42 17.3 1157 19.81 9.94 10.13
10 24 32.4 -23 33 17 264.5 28.14 0.38 1.43 10.46 16.01 3662 52.1 10.81 10.94
10 24 43.4 -39 18 29 274.31 15.27 0.34 0.89 13.83 23.08 2892 37.69 10.67 10.74
10 27 52.4 -43 54 25 277.38 11.73 3.57 15.69 102.63 114.31 2781 35.35 11.43 11.56
10 29 12.3 -44 7 13 277.7 11.67 0.53 0.91 8.59 19 3015 38.79 10.56 10.66
10 31 35.7 -39 57 25 275.82 15.44 0.59 0.91 7.1 14.66 2961 38.41 10.45 10.59
10 31 52.1 -34 51 14 273.01 19.78 0.91 2.63 6.73 7.89 3200 42.91 10.42 10.73
10 36 15.3 37 19 29 184.62 59.84 0.86 0.69 5.98 16.58 1586 23.69 10.05 10.18
10 38 46.2 53 30 8 156.6 54.06 1.54 5.32 34.56 44.19 1060 19.81 10.45 10.61
10 43 31.5 24 55 18 210.04 61.26 1.01 1.35 9.71 28.92 556 6.7 9.18 9.28
10 43 7 -46 12 43 280.94 11.11 0.36 0.67 6.07 13.37 7000 100.5 11.25 11.35
10 43 58.1 11 42 10 233.95 56.37 1.04 2.79 19.66 41.1 769 9.99 9.72 9.83
10 46 36.6 63 13 25 143.6 48.59 0.44 0.54 6.49 17.16 971 16.81 9.76 9.83
10 46 35.2 13 45 2 231.31 57.97 0.51 1.98 6.44 13.48 3039 46.13 10.57 10.76
10 46 45.6 11 49 13 234.43 57.01 0.98 0.51 10.51 31.63 916 10.51 9.61 9.67
10 49 52.2 32 59 18 192.91 63.15 0.47 1.47 10.92 17.83 1623 27.85 10.29 10.42
10 51 46 32 54 3 193.03 63.55 0.52 0.92 8.44 17.05 1494 26.17 10.18 10.3
10 52 32.7 36 37 30 184.76 63.17 0.25 0.43 8.42 16.01 616 9.48 9.28 9.34
10 52 36.8 22 55 58 215.19 62.82 0.68 1.35 10.91 20.29 1239 22.23 10.13 10.26
10 54 38.7 54 18 25 153.05 55.45 0.22 0.64 6.64 11.17 1350 24.06 9.96 10.06
10 59 8.7 61 31 53 143.73 50.82 0.33 1.26 8.31 12.21 2129 34.07 10.33 10.47
10 59 17.4 24 32 38 212.45 64.69 0.2 1.27 12.1 15.01 12927 176.26 11.93 12.02
10 59 2.4 -43 26 33 282.21 14.86 0.34 0.81 5.69 12.16 5156 75.74 10.96 11.08
10 59 22.8 -66 19 23 292 -5.86 0.67 1 10.05 17.89 1890 22.07 10.07 10.21
11 0 23.6 28 58 38 202.07 65.49 0.62 0.24 6.26 16.42 682 9.23 9.22 9.31
11 3 11.1 27 58 22 204.6 66.04 1.11 4.03 21.43 34.05 1550 27.07 10.56 10.72
11 3 0.1 -16 17 23 268.55 39.24 0.52 0.91 6.82 13.9 3889 56.26 10.76 10.9
11 3 24.2 -23 5 15 272.9 33.41 1.03 0.83 8.98 21.87 1106 13.6 9.69 9.82
11 3 54.2 40 50 58 174.19 63.99 0.2 0.71 6.38 10.3 10438 143.21 11.51 11.61
11 5 49.2 0 2 15 255.54 52.83 5.04 5.46 49.19 121.76 736 6.84 9.84 9.96
11 7 48.8 -46 31 38 284.99 12.7 0.54 0.84 6.45 17.78 1067 11.66 9.46 9.55
11 10 34.7 -49 6 5 286.45 10.52 0.33 0.72 5.38 10.12 2722 32.4 10.15 10.29
11 10 50.4 -37 27 5 281.71 21.24 0.93 1.05 8.03 15.95 2445 30.06 10.27 10.45
11 11 31.5 55 40 23 148.31 56.25 2.29 4.19 32.55 76.9 698 13.85 10.26 10.37
11 14 9.7 48 19 12 158.12 61.63 0.6 0.77 7.43 17.92 2168 35.09 10.43 10.54
11 14 37.4 12 49 2 240.43 63.21 1.52 1.96 18.47 36.44 578 5.04 9.08 9.22
11 14 40.9 -23 43 33 276.02 34.04 0.67 2.18 12.84 16.21 3485 48.31 10.8 10.97
11 16 4.1 -76 12 54 297.22 -14.41 1.29 4.74 45.75 67.17 1680 19.66 10.59 10.7
11 18 16.7 -32 48 47 281.21 26.1 3.53 4.44 29.32 77.34 727 6.64 9.61 9.74
11 20 15.3 12 59 32 241.96 64.42 4.82 8.55 66.31 136.56 740 10.04 10.24 10.38
11 20 17.4 13 35 19 240.86 64.78 3.13 4.85 54.8 105.76 825 10.04 10.14 10.25
11 21 1.2 53 10 18 149.53 59.03 1.07 1.45 9.71 27.64 1158 21.58 10.19 10.3
11 21 13.3 -2 59 8 263.57 52.85 0.48 0.76 5.85 9.18 7464 106.27 11.2 11.37
11 22 53.5 16 35 28 235.58 66.96 0.67 1.15 8.48 19.75 1473 26.42 10.23 10.35
11 25 1.6 -9 47 34 270.42 47.55 1.01 0.95 9.23 25.69 1899 27.7 10.37 10.47
11 25 47.3 14 40 23 240.61 66.5 0.14 0.62 6.2 10.39 10299 142.89 11.5 11.59
11 26 9 43 35 4 163.66 66.19 1.43 1.67 10.48 36.56 804 12.69 9.84 9.92
11 27 30.6 56 52 44 143.82 56.71 1.16 1.48 13.87 29.3 1716 29.06 10.5 10.63
11 27 56.1 -41 37 6 286.61 18.59 0.16 0.95 7.68 9.52 4902 72.26 10.93 11.04
11 28 32.6 58 33 40 141.9 55.41 3.97 24.51 113.05 111.42 3159 47.74 11.74 11.88
11 31 31.2 -30 18 24 283.13 29.47 0.85 1.32 11.92 26.04 1733 21.39 10.18 10.29
11 33 19.9 47 1 49 155.38 64.88 0.7 0.88 6.21 20.91 851 14.53 9.71 9.78
11 34 13.4 -9 50 40 273.45 48.56 0.25 0.71 5.36 7.75 1692 25.08 9.87 10.01
11 35 57.4 70 32 8 131.74 45.28 0.64 1.12 6.71 17.83 2696 36.04 10.45 10.57
11 40 57.8 11 28 18 252.93 67.22 1.46 1.62 13.63 35.07 1001 15.36 10 10.12
11 46 8 47 29 38 150.72 65.96 0.85 1.1 7.72 22.42 903 15.14 9.78 9.89
11 46 4 -56 23 12 293.93 5.34 1.51 2.67 19.84 37.38 1817 20.62 10.32 10.47
11 46 45.1 -27 55 10 285.91 32.8 0.57 1.47 11.89 16.25 1802 22.93 10.13 10.27
11 47 4 -16 51 0 281.54 43.33 0.59 0.67 5.84 16.81 1208 16.07 9.71 9.8
11 48 37.7 48 42 45 148.16 65.23 1.45 1.65 15.57 36.8 892 16.35 10.08 10.2
11 52 49.2 44 7 14 153.88 69.32 0.9 1.23 9.18 27.5 800 14.75 9.85 9.93
11 53 12 -39 7 54 290.76 22.36 0.53 2.28 34.38 46.28 3232 37.7 11.02 11.1
11 53 42 47 51 31 147.63 66.41 0.79 1.26 11.29 24.4 810 13.61 9.75 9.87
11 53 48.4 52 19 44 141.74 63.02 1.1 1.19 7.11 31.12 1016 17.58 10.05 10.09
11 53 57.5 -23 9 52 286.14 37.83 1.05 1.31 8.34 17.56 1491 19.78 9.94 10.12
11 56 7.1 -19 53 49 285.58 41.1 0.65 0.84 7.14 20.72 1723 23.37 10.13 10.21
11 56 27.3 55 7 36 138.83 60.27 0.47 0.97 7.18 16.24 1109 21.04 9.95 10.06
11 57 41 32 17 10 185.85 77.25 0.5 0.9 8.53 16.88 3118 48.22 10.71 10.83
11 58 31.5 43 56 54 151.86 70.09 0.54 0.77 7.01 24.36 834 13.76 9.73 9.76
11 59 28.8 -19 15 45 286.36 41.93 0.9 1.12 12.24 27.78 1671 22.84 10.26 10.36
12 0 23.8 -1 6 3 277.37 59.21 1.35 2.3 18.49 50.92 1427 24.5 10.56 10.64
12 1 55.1 -18 52 43 286.97 42.45 1.94 6.54 45.16 87.09 1563 21.54 10.73 10.84
12 2 12.8 62 8 7 132.7 54.05 1.13 1.56 14.15 31.74 1243 22.78 10.31 10.43
12 2 42.3 1 58 33 275.98 62.27 0.27 1.02 6.75 13.69 1981 30.89 10.23 10.34
12 3 9.8 44 31 50 148.88 70.09 1.35 2.2 10.53 24.93 728 13.11 9.72 9.9
12 5 23.3 50 21 8 140.58 65.17 0.36 0.62 5.79 14.8 752 14.55 9.58 9.66
12 5 35.1 50 32 24 140.33 65.01 2.06 3.45 26.77 61.68 696 13.37 10.13 10.25
12 6 0.1 47 28 48 143.55 67.79 0.94 0.89 7.46 23.19 523 9.63 9.4 9.5
12 6 8.1 49 35 3 141.11 65.91 0.77 1.03 9.35 21.94 1074 17.73 9.93 10.04
12 6 23.6 52 42 36 138.08 63.07 1.77 6.83 46.85 70.29 859 16.89 10.47 10.61
12 6 53 -31 57 8 292.02 29.97 0.2 0.76 7.44 12.63 6818 100.48 11.27 11.36
12 8 11.3 2 52 40 277.98 63.63 0.7 1.33 6.47 10.73 1327 15.29 9.55 9.76
12 10 34.6 39 24 9 155.07 75.07 2.01 4.87 6.46 8.88 995 18.99 9.7 10.2
12 11 4.2 50 29 4 138.47 65.41 1.72 2.12 17.71 50.67 790 13.3 10.03 10.12
12 12 31.6 29 10 1 197.29 81.19 0.26 0.54 5.27 11.55 3973 59.85 10.72 10.81
12 13 47.3 2 48 34 281 64.07 0.11 0.66 8.18 9.46 21788 292.48 12.22 12.28
12 13 48.8 14 53 51 265.44 74.96 1.04 1.43 8.14 24.31 -142 15.29 9.83 9.95
12 14 12.6 -47 13 37 296.4 15.17 0.35 0.66 5.61 11.06 5543 88.67 11.07 11.19
12 14 8.7 54 31 40 134.39 61.76 0.99 4.51 23.2 25.16 2555 40.33 10.9 11.06
12 14 21.4 -56 32 32 297.81 5.96 0.35 1.12 9.78 12.95 8125 115.68 11.47 11.59
12 14 44.2 -35 30 31 294.57 26.77 0.38 1.92 11.48 18.81 2688 30.92 10.41 10.54
12 15 35.4 13 54 31 268.83 74.36 0.82 1 6.6 16.94 -81 15.29 9.68 9.82
12 15 40 36 19 22 160.26 78.08 0.58 2.46 17.57 29.08 291 3.67 8.74 8.86
12 15 50.3 47 5 30 139.9 68.85 1.26 1.5 11.6 41.19 1028 17.13 10.15 10.2
12 16 27.1 -43 19 26 296.21 19.09 0.93 1.91 14.08 36.78 1985 22.58 10.35 10.44
12 18 51 14 24 50 270.46 75.19 3.67 4.38 37.46 91.86 2403 15.29 10.42 10.54
12 19 56.3 5 20 34 282.53 66.96 0.77 1.65 9.38 21.76 2400 15.29 9.8 9.93
12 21 35.7 14 36 7 272.41 75.67 0.92 1.11 7.02 25.77 1141 15.29 9.85 9.91
12 21 55.4 4 28 24 284.38 66.28 3.28 4.9 37.27 78.74 1570 15.29 10.37 10.51
12 22 14.6 -33 29 16 295.97 28.99 0.51 0.91 6.77 11.35 2631 30.52 10.17 10.33
12 22 53.9 15 49 22 271.12 76.9 2.52 3.1 26 68.37 1571 15.2 10.28 10.39
12 22 46.3 65 50 44 127.59 51.02 0.27 0.98 7.25 13.01 2843 43.5 10.53 10.64
12 24 35.7 39 23 2 145.75 76.53 0.28 0.69 5.75 11.28 1045 20.21 9.78 9.89
12 25 2.8 -6 40 44 291.28 55.59 0.11 0.2 5.99 8.13 7902 112.7 11.23 11.27
12 25 26 16 28 4 272.14 77.76 0.29 1.08 8.36 12.43 1710 15.29 9.64 9.76
12 25 45.9 12 39 50 279.11 74.34 1.01 3.57 10.27 17.15 2524 15.29 9.75 10
12 26 7.7 13 6 47 278.79 74.79 0.74 0.66 5.54 17.53 237 15.29 9.68 9.78
12 26 26.9 31 13 24 174.54 83.18 2.78 3.61 29.55 70.69 720 17.68 10.43 10.56
12 26 54.7 0 52 42 290.05 61.38 0.99 9.67 43.89 31.94 2104 31.9 11 11.08
12 26 55.1 15 2 59 276.42 76.64 0.67 1.88 7.58 16.18 -261 15.29 9.68 9.86
12 27 37.5 -8 16 35 292.84 54.13 0.63 1.52 13.35 23.83 2913 41.68 10.76 10.87
12 30 34.9 41 38 47 138.01 74.87 1.82 4.92 46.92 88.61 641 10.48 10.11 10.21
12 31 57.6 14 25 20 282.3 76.51 2.29 2.98 19.68 62.97 2284 15.29 10.24 10.33
12 32 44.5 0 6 57 292.73 62.62 0.8 1.04 7.87 21.41 1121 16.38 9.84 9.94
12 34 2.7 7 41 57 290.16 70.14 0.35 0.49 5.86 16.03 448 15.29 9.65 9.71
12 34 9.9 2 39 4 292.61 65.18 2.65 3.55 31.4 65.68 1771 15.29 10.29 10.42
12 34 18.6 6 28 11 291.02 68.94 0.28 0.73 9.21 15.14 2007 15.29 9.7 9.79
12 34 19.9 8 11 52 290.07 70.64 1.04 1.34 11.45 32.52 1957 15.77 9.98 10.07
12 34 28.5 2 11 8 292.96 64.73 1.55 4.04 30.26 44.51 1802 14.92 10.17 10.32
12 35 57 27 57 37 198.42 86.47 0.87 1.03 10.23 25.41 816 9.69 9.46 9.56
12 36 21 25 59 16 230.76 86.44 1.36 1.36 7.79 34.62 1282 9.99 9.61 9.66
12 36 33.7 11 14 32 289.8 73.73 1.99 2.64 20.81 56.8 2262 15.29 10.2 10.3
12 36 50.8 13 9 43 288.48 75.62 1.27 2.06 9.8 26.56 -235 15.29 9.87 10.02
12 37 52.1 -40 32 20 300.15 22.26 0.46 0.85 7.74 16.31 2973 58.21 10.85 10.96
12 37 42.6 11 49 12 290.38 74.36 1.12 0.78 5.93 21.39 1519 15.29 9.76 9.87
12 40 0.9 61 36 28 125.33 55.47 0.97 1.25 14.39 30.55 117 3.9 8.77 8.87
12 40 51.5 -36 45 13 300.57 26.07 0.72 2.54 8.9 13.79 3275 34.82 10.39 10.62
12 42 7.1 32 32 33 142.83 84.22 5.16 8.97 85.4 160.08 630 7.73 10.1 10.22
12 43 32.1 11 34 59 295.74 74.34 0.99 0.76 5.77 16.59 1415 15.29 9.66 9.81
12 43 42.1 16 23 38 293.06 79.12 0.47 0.66 5.6 15.56 805 15.29 9.64 9.72
12 43 56.6 13 7 39 295.43 75.89 1.01 1.73 13.39 37.77 1037 15.29 10.02 10.1
12 43 55 32 10 28 140.42 84.7 0.06 0.49 6.5 10.7 614 7.38 8.91 8.98
12 45 7.7 0 27 41 299.53 62.37 3.34 3.89 37.11 85.95 1495 12.82 10.24 10.36
12 48 13.5 -3 19 59 301.35 59.53 0.8 3.1 14.32 22.65 1124 20.65 10.14 10.32
12 49 2 -8 39 52 301.92 54.2 0.76 0.54 6.11 19.95 1394 21.71 10.04 10.12
12 49 38.5 15 9 59 300.84 78.03 0.42 0.54 5.89 13.21 1125 15.29 9.58 9.69
12 50 52.9 41 7 15 123.36 76.01 5.07 6.11 71.54 120.69 323 4.83 9.59 9.73
12 54 24.9 -10 32 19 304.13 52.33 0.61 0.67 8.04 18.27 1260 18.63 9.9 10
12 54 40.8 28 56 23 101.57 88.05 1.08 1.57 12.42 28.11 2523 40.5 10.76 10.89
12 55 48.8 4 18 18 305.74 67.15 0.62 0.74 6.92 16.05 778 19.72 9.89 10.01
12 56 41.1 -7 33 46 305.22 55.29 0.42 1.2 8.47 16.65 1296 20.28 9.95 10.07
12 56 15 56 52 17 121.61 60.24 1.83 8.84 30.8 29.74 12660 171.84 12.31 12.51
12 56 50 -8 31 38 305.22 54.32 0.96 4.4 20.12 26.6 1051 9.37 9.57 9.75
12 56 42.6 21 41 5 315.65 84.43 2.36 2.86 36.7 81.65 349 3.09 8.98 9.08
12 57 44.3 -29 45 55 304.56 33.09 0.22 0.91 5.96 8.99 3055 35.25 10.22 10.36
12 58 8.2 -46 15 56 304.14 16.59 1.28 1.89 17.69 40.22 2192 23.96 10.46 10.57
12 58 1.2 1 34 32 306.74 64.4 0.38 0.57 9.22 22.05 1224 15.09 9.79 9.84
13 0 39.8 2 30 0 308.45 65.27 0.49 0.76 5.97 13.96 969 15.36 9.61 9.73
13 1 25.9 29 18 46 78.3 86.9 0.27 1.48 6.21 7.33 7071 101.09 11.14 11.32
13 1 49.9 4 20 1 309.6 67.07 0.3 0.47 5.25 8.06 11237 156.31 11.49 11.62
13 2 20.5 -15 46 5 306.78 47.02 0.34 1.63 7.49 9.68 4861 72.5 10.93 11.11
13 2 51.3 -23 55 10 306.28 38.88 0.25 0.8 13.04 15.71 6446 96.1 11.42 11.49
13 5 27.6 -49 28 9 305.27 13.34 27.74 42.34 625.46 1329.7 560 3.92 10.41 10.48
13 6 26.5 -40 24 54 306.02 22.37 0.68 1.24 5.73 10.73 4477 58.21 10.69 10.91
13 8 18.4 -57 27 30 305.21 5.34 0.13 0.45 8.17 14.58 6364 96.54 11.28 11.34
13 8 58.3 -15 31 7 309.15 47.14 0.86 1.65 11.23 17.08 1252 17.36 9.88 10.05
13 10 55.7 37 3 33 101.62 79.25 1.65 2.26 22.18 63.4 950 18.09 10.39 10.46
13 12 25.4 -15 47 45 310.31 46.77 0.37 1.44 10.29 21.69 6400 94.33 11.41 11.5
13 12 35.1 -17 32 27 310.07 45.04 0.81 1.07 7.76 17.14 2760 36.41 10.46 10.61
13 12 39.1 12 36 7 322.85 74.65 0.36 0.72 5.58 11.7 3360 51.45 10.6 10.72
13 13 27.2 36 35 40 98.07 79.45 1.77 2.14 16.2 50.23 869 13.76 10.05 10.13
13 15 6.2 -55 9 24 306.34 7.56 0.44 2.98 41.11 52.33 9222 129.36 12.18 12.26
13 15 2.5 -15 57 8 311.19 46.54 0.25 1.47 9.15 13.28 2222 29.82 10.25 10.39
13 15 2.2 24 37 15 8.96 84.13 0.14 1.34 18.61 18.66 3887 59.11 11.14 11.17
13 15 49.5 42 1 39 105.99 74.29 5.35 6.36 40 139.82 500 7.96 10.01 10.09
13 15 34.9 62 7 26 118.04 54.77 0.35 1.95 11.39 12.41 9313 127.99 11.61 11.74
13 16 59 -16 38 4 311.73 45.8 1.12 1.5 13.01 31.53 1737 23.87 10.34 10.46
13 18 52.9 -21 2 25 311.48 41.38 1.04 0.97 12.5 31.39 672 5.61 9.07 9.17
13 19 18.5 -14 50 30 312.93 47.49 0.31 1.46 9.37 15.02 2744 37.09 10.47 10.6
13 19 50 -27 24 37 310.63 35.04 1.08 0.95 10.54 33.7 2168 26.32 10.44 10.5
13 20 34.9 34 8 24 82.94 80.6 0.25 1.42 17.04 24.38 7000 99.99 11.59 11.67
13 21 24.2 0 20 27 319.2 62.26 0.39 0.74 6.78 13.37 5578 82.44 11.09 11.2
13 22 23.5 -16 43 34 313.53 45.51 0.94 2.97 6.2 6.2 5152 77.33 10.9 11.24
13 25 27.6 -43 1 12 309.52 19.42 22.15 28.25 213.29 411.89 562 4.03 9.94 10.11
13 25 43 -29 49 54 311.74 32.45 0.63 2.38 16.86 30.97 4114 52.15 11.06 11.17
13 25 14 43 16 1 102.13 72.47 0.41 0.64 6.29 12.27 1225 23.33 9.94 10.06
13 27 24.4 -57 29 24 307.77 5.04 1.22 7.56 81.44 100.04 3006 32.44 11.26 11.34
13 29 53.5 47 11 42 104.85 68.56 7.21 9.56 97.42 221.21 468 8.63 10.31 10.42
13 30 0 47 16 0 104.88 68.49 0.35 1.02 15.22 31.33 450 8.3 9.44 9.5
13 31 27.7 -34 47 36 312.18 27.36 0.86 2.83 22.58 38.26 2425 27.25 10.6 10.72
13 32 52.8 -24 12 23 314.9 37.7 0.38 0.68 6.1 12.36 4930 74.67 10.96 11.08
13 32 10.6 62 46 2 115.07 53.74 0.37 0.94 7.01 13.54 2880 44.35 10.55 10.67
13 36 58.8 -29 51 46 314.58 31.98 21.46 43.57 265.84 524.09 522 3.6 9.94 10.1
13 37 31.8 8 53 12 335.93 68.75 1.75 3.02 20.91 53.48 1152 13.82 10.09 10.2
13 38 3.4 -17 53 4 318.32 43.59 1.51 1.48 13.65 41.83 1362 18.77 10.24 10.32
13 38 18.2 48 16 28 102.72 66.97 0.32 1.07 7.25 10.11 8285 115.83 11.34 11.49
13 39 55.2 -31 38 21 314.86 30.11 2.5 12.07 29.84 30.08 404 3.15 8.79 9.05
13 39 54.9 0 50 7 328.81 61.25 0.57 1.34 10.73 19.97 6798 98.63 11.43 11.55
13 44 41.8 55 53 14 108.11 59.68 0.24 2.36 22.51 22.53 11324 154.71 12.08 12.14
13 49 15 35 15 17 69.85 75.23 0.35 0.42 5.79 15.89 5032 74.18 11.03 11.08
13 50 26.9 -48 16 40 312.97 13.44 0.3 1.12 5.64 5.52 3190 58.21 10.61 10.77
13 50 57.3 -49 3 25 312.86 12.66 0.74 1.82 12.92 22 3028 58.21 11.02 11.17
13 52 16.6 2 6 8 335.72 61.04 0.29 0.59 5.86 11.49 9909 139.1 11.49 11.59
13 55 39.1 40 27 34 82.17 71.2 0.86 0.97 5.27 18.66 2553 41.06 10.57 10.67
13 57 3.8 41 50 55 84.79 70.08 0.35 0.84 5.45 13.05 2230 36.74 10.34 10.45
13 58 35.3 37 26 51 73.25 72.5 0.59 1.4 9.38 22.02 3472 53.4 10.89 11
14 0 45 59 19 37 107.31 55.65 0.5 1.94 10.1 20.34 2960 45.63 10.74 10.88
14 2 37.4 32 30 27 56.45 73.67 0.27 0.85 6.31 11.67 4352 65.3 10.83 10.95
14 3 25.6 -6 1 48 333.28 52.55 1.29 1.48 10.24 25.29 2618 38.02 10.65 10.8
14 3 9 54 21 24 102.06 59.77 6.2 11.78 88.04 252.84 241 6.7 10.13 10.2
14 10 25 -43 19 28 317.84 17.25 0.8 0.73 6.3 17.16 1774 20.31 9.93 10.05
14 12 8.9 -49 23 24 316.17 11.4 0.58 0.71 6.82 13.83 2894 58.21 10.79 10.93
14 13 14 -3 12 24 339.15 53.81 1.29 4.17 8.42 8.87 1853 28.07 10.14 10.49
14 19 43.5 49 14 9 91.29 62.12 0.15 0.84 6.01 8.47 7666 107.71 11.2 11.32
14 21 12.6 -46 17 50 318.69 13.81 0.6 1.19 8.86 18.19 1650 18.9 9.92 10.05
14 23 49.4 14 38 21 7.45 65.14 0.35 0.72 5.44 11.68 2311 36.93 10.31 10.43
14 24 12.6 -16 43 25 332.78 40.71 0.53 0.68 9.06 18.6 2699 36.71 10.51 10.61
14 24 26.5 -16 45 43 332.81 40.65 0.71 1.55 8.37 16.33 2697 36.68 10.46 10.63
14 30 9.5 31 12 57 49.6 68.11 0.64 1.37 10.57 23.03 3572 54.88 10.95 11.06
14 31 38.8 -43 25 8 321.57 15.8 1.4 2.33 19.13 38.07 1957 22.47 10.4 10.53
14 32 41.1 -44 10 30 321.44 15.03 1.97 4.68 23.48 48.6 1199 13.86 10.08 10.24
14 32 24.9 8 4 50 359.08 59.44 0.47 0.82 6.25 12.41 2222 34.98 10.3 10.44
14 32 6.2 57 55 13 100.04 54.5 0.94 1.2 9.67 25.66 1912 32.02 10.5 10.61
14 32 46.9 49 27 31 88.68 60.39 1.13 1.7 12.04 29.91 2117 29.63 10.51 10.63
14 37 37.3 -15 0 20 337.59 40.61 0.1 0.55 6.82 7.31 24723 330.85 12.26 12.3
14 37 41 2 17 27 353.15 54.45 0.75 0.99 6.94 16.84 1753 23.84 10.07 10.21
14 40 10.9 0 17 22 351.02 52.13 1.47 2.84 22.1 37.28 1904 26.74 10.57 10.72
14 40 57.8 -37 4 25 326.05 20.83 0.1 0.67 6.72 8.08 20444 276.04 12.08 12.15
14 40 55.9 0 19 5 351.22 51.98 0.52 1.09 8.61 17.96 1743 27.14 10.23 10.35
14 42 24.3 -17 15 16 337.33 38.1 0.21 1.05 8.88 15.79 2788 38.34 10.5 10.6
14 45 8.5 -20 52 12 335.67 34.67 0.5 0.74 7.99 24.79 4091 59.28 11.02 11.06
14 46 9.9 -37 41 4 326.74 19.83 0.31 0.79 5.99 10.36 4476 64 10.78 10.91
14 47 24.1 -17 26 49 338.47 37.3 0.3 1.04 5.83 10.61 2195 30.02 10.11 10.26
14 47 46.3 -19 4 43 337.47 35.87 0.77 0.94 6.57 12.56 2673 36.29 10.34 10.53
14 53 58 3 32 32 359.43 52.42 1.83 2.47 23.59 55.64 1642 26.34 10.68 10.78
14 57 43.1 -43 8 1 326.12 13.98 0.36 1.53 8.07 13.65 4715 69.94 10.98 11.13
14 57 0.3 24 37 1 34.97 61.72 0.36 0.41 6.95 15.16 9982 139.36 11.59 11.67
14 58 56.9 -42 0 51 326.88 14.85 0.37 0.98 5.9 15 2998 35.04 10.35 10.45
14 58 22.9 -1 5 26 355.35 48.43 0.97 1 9.08 20.32 1924 25.36 10.21 10.36
14 59 23.5 -16 41 28 341.96 36.3 0.17 0.49 6.48 9.44 3491 50.17 10.56 10.65
14 56 7.7 83 31 18 118.96 32.61 0.29 0.89 5.24 8.49 3881 55.64 10.58 10.74
15 6 30.3 55 45 49 92.03 52.49 0.35 0.34 5.26 16.98 769 11.63 9.43 9.45
15 9 15.4 -11 19 16 348.52 39.06 0.72 1.54 11.41 20.53 1818 23.84 10.2 10.34
15 11 51 -72 51 28 312.94 -12.77 0.83 0.99 7.29 22.42 3030 38.65 10.6 10.69
15 13 30.6 -20 40 29 342.34 31.11 0.54 0.64 5.7 14.37 2272 30.94 10.22 10.34
15 13 12.7 7 13 30 8.89 50.96 0.05 0.95 21.89 31.53 3893 59.06 11.23 11.27
15 15 5.2 42 12 35 69.68 57.17 0.4 0.7 7.51 16.95 2511 40.35 10.54 10.63
15 15 58.9 56 18 36 91.55 51.09 1.29 1.44 9.14 37.43 612 12.08 9.8 9.85
15 18 6.7 42 44 41 70.35 56.49 0.29 1.42 9.02 10 12336 168.72 11.76 11.89
15 21 33.7 -13 5 34 349.91 35.74 0.46 1.36 10.71 16.41 2291 32.94 10.42 10.55
15 24 57.1 -63 7 29 319.3 -5.24 0.29 1.46 10.3 13.65 8779 123.07 11.54 11.67
15 26 7.4 41 40 34 67.86 55.3 0.35 1.6 9.36 13.68 2672 42.47 10.58 10.72
15 26 59.9 35 58 34 57.81 55.94 0.16 1.31 7.1 5.93 16535 223.49 11.92 12.02
15 30 0.9 12 59 21 20.06 50.38 0.48 1.47 8.73 17.66 4013 60.81 10.93 11.07
15 30 46 -2 49 45 1.33 41.31 0.68 1.47 10.41 21.47 2807 42.45 10.7 10.83
15 34 33 15 11 42 23.92 50.34 0.82 1.58 11.79 19.89 2008 32.77 10.48 10.63
15 34 57.1 23 30 10 36.63 53.03 0.61 8 104.09 115.29 5450 79.9 12.15 12.21
15 36 31.4 16 36 27 26.25 50.47 0.73 1.04 8.93 21.82 1958 32.17 10.44 10.55
15 46 16 2 24 55 10.02 41.45 0.6 1.6 9.59 17.14 3863 58.42 10.91 11.06
15 49 49.4 -29 23 11 343.3 19.17 1.48 5.35 35.64 54.94 2173 28.9 10.83 10.97
16 5 12.3 20 32 33 35.31 45.47 0.28 0.83 6.79 10.57 4747 70.42 10.89 11.02
16 11 40.8 52 27 27 81.39 45.21 0.26 1.24 6.48 9.41 8865 122.55 11.35 11.51
16 17 10 -58 18 43 327.3 -5.54 0.29 1 6.16 8.12 2764 34.99 10.21 10.37
16 20 44.4 -70 8 35 319.03 -14.13 0.7 0.67 7.05 18.64 3419 45.75 10.68 10.78
16 19 10.3 -7 53 57 5.73 28.74 0.17 0.59 10.29 13.22 8140 115.46 11.48 11.55
16 30 56.2 4 4 58 19.27 32.9 0.25 0.81 7 11.23 7342 104.72 11.26 11.38
16 32 21.7 19 49 29 37.17 39.21 0.63 1.41 8.94 20.83 2382 30.7 10.39 10.51
16 34 51.9 -60 37 8 327.19 -8.76 1.23 2.71 17.17 32 3300 43.96 10.92 11.07
16 38 11.4 -68 26 7 321.4 -14.15 0.25 0.71 7.08 12.68 13926 188.61 11.82 11.92
16 32 39.1 78 11 50 111.32 33.36 0.74 2.03 11.35 20.62 1353 23.49 10.19 10.34
16 42 39.2 -9 43 11 7.89 22.98 0.27 1.13 8.42 14.72 8098 114.61 11.44 11.56
