salary average obp runs hits doubles triples homeruns rbis walks sos sbs errors freeagent arbitration runsperso hitsperso hrsperso rbisperso walksperso obppererror runspererror hitspererror hrspererror soserrors sbsobp sbsruns sbshits
150 0.278 0.316 15 59 7 0 2 22 12 19 1 4 0 0 0.7895 3.1053 0.1053 1.1579 0.6316 0.079 3.75 14.75 0.5 76 0.316 15 59
140 0.269 0.303 32 58 12 1 13 33 11 51 1 3 0 0 0.6275 1.1373 0.2549 0.6471 0.2157 0.101 10.6667 19.3333 4.3333 153 0.303 32 58
3050 0.3 0.35 76 163 26 6 9 83 43 35 15 4 0 1 2.1714 4.6571 0.2571 2.3714 1.2286 0.0875 19 40.75 2.25 140 5.25 1140 2445
2900 0.249 0.374 75 120 18 1 26 87 96 133 0 1 1 0 0.5639 0.9023 0.1955 0.6541 0.7218 0.374 75 120 26 133 0 0 0
2850 0.229 0.303 54 105 24 1 16 70 49 72 1 4 1 0 0.75 1.4583 0.2222 0.9722 0.6806 0.0758 13.5 26.25 4 288 0.303 54 105
2700 0.332 0.421 93 181 42 2 8 51 89 32 1 13 1 0 2.9062 5.6562 0.25 1.5938 2.7812 0.0324 7.1538 13.9231 0.6154 416 0.421 93 181
2400 0.231 0.291 45 107 23 2 5 48 37 53 8 6 1 0 0.8491 2.0189 0.0943 0.9057 0.6981 0.0485 7.5 17.8333 0.8333 318 2.328 360 856
2300 0.251 0.314 56 119 33 3 14 56 39 81 6 3 1 0 0.6914 1.4691 0.1728 0.6914 0.4815 0.1047 18.6667 39.6667 4.6667 243 1.884 336 714
1650 0.262 0.312 45 116 25 3 4 41 26 55 11 6 0 1 0.8182 2.1091 0.0727 0.7455 0.4727 0.052 7.5 19.3333 0.6667 330 3.432 495 1276
1600 0.283 0.349 87 175 42 2 5 60 60 53 6 15 0 1 1.6415 3.3019 0.0943 1.1321 1.1321 0.0233 5.8 11.6667 0.3333 795 2.094 522 1050
1075 0.258 0.318 64 107 22 3 8 40 35 86 4 25 0 1 0.7442 1.2442 0.093 0.4651 0.407 0.0127 2.56 4.28 0.32 2150 1.272 256 428
550 0.225 0.272 17 38 6 1 1 4 11 40 4 6 1 0 0.425 0.95 0.025 0.1 0.275 0.0453 2.8333 6.3333 0.1667 240 1.088 68 152
350 0.263 0.271 10 30 8 0 0 9 1 16 0 4 0 0 0.625 1.875 0 0.5625 0.0625 0.0678 2.5 7.5 0 64 0 0 0
340 0.295 0.375 69 141 21 1 11 71 61 66 1 10 0 0 1.0455 2.1364 0.1667 1.0758 0.9242 0.0375 6.9 14.1 1.1 660 0.375 69 141
155 0.26 0.339 21 57 12 0 4 32 26 43 2 7 0 0 0.4884 1.3256 0.093 0.7442 0.6047 0.0484 3 8.1429 0.5714 301 0.678 42 114
145 0.457 0.486 6 16 4 2 0 7 2 2 0 3 0 0 3 8 0 3.5 1 0.162 2 5.3333 0 6 0 0 0
950 0.262 0.307 30 111 13 2 0 31 26 27 5 13 0 1 1.1111 4.1111 0 1.1481 0.963 0.0236 2.3077 8.5385 0 351 1.535 150 555
700 0.243 0.279 23 69 14 0 1 24 14 67 0 6 0 0 0.3433 1.0299 0.0149 0.3582 0.209 0.0465 3.8333 11.5 0.1667 402 0 0 0
550 0.224 0.274 28 94 21 1 1 44 27 54 2 8 1 0 0.5185 1.7407 0.0185 0.8148 0.5 0.0342 3.5 11.75 0.125 432 0.548 56 188
525 0.217 0.264 10 40 9 0 0 7 8 24 0 5 0 0 0.4167 1.6667 0 0.2917 0.3333 0.0528 2 8 0 120 0 0 0
525 0.288 0.346 80 171 28 2 11 69 48 74 3 28 0 0 1.0811 2.3108 0.1486 0.9324 0.6486 0.0124 2.8571 6.1071 0.3929 2072 1.038 240 513
333 0.243 0.297 46 99 18 7 9 45 30 85 4 8 0 0 0.5412 1.1647 0.1059 0.5294 0.3529 0.0371 5.75 12.375 1.125 680 1.188 184 396
325 0.258 0.324 29 57 8 2 8 25 23 54 6 4 0 0 0.537 1.0556 0.1481 0.463 0.4259 0.081 7.25 14.25 2 216 1.944 174 342
300 0.209 0.293 9 28 5 1 0 11 15 12 0 2 1 0 0.75 2.3333 0 0.9167 1.25 0.1465 4.5 14 0 24 0 0 0
200 0.284 0.31 22 73 14 0 5 30 10 43 3 9 0 0 0.5116 1.6977 0.1163 0.6977 0.2326 0.0344 2.4444 8.1111 0.5556 387 0.93 66 219
175 0.282 0.323 60 130 31 2 26 95 25 99 3 10 0 0 0.6061 1.3131 0.2626 0.9596 0.2525 0.0323 6 13 2.6 990 0.969 180 390
158 0.249 0.309 30 70 12 3 4 22 24 57 10 2 0 0 0.5263 1.2281 0.0702 0.386 0.4211 0.1545 15 35 2 114 3.09 300 700
145 0.264 0.293 29 83 15 1 0 30 15 45 2 10 0 0 0.6444 1.8444 0 0.6667 0.3333 0.0293 2.9 8.3 0 450 0.586 58 166
4500 0.261 0.347 102 163 25 0 44 133 78 151 0 9 1 0 0.6755 1.0795 0.2914 0.8808 0.5166 0.0386 11.3333 18.1111 4.8889 1359 0 0 0
3358 0.263 0.387 85 132 17 2 31 89 101 131 3 7 1 0 0.6489 1.0076 0.2366 0.6794 0.771 0.0553 12.1429 18.8571 4.4286 917 1.161 255 396
2400 0.248 0.32 57 93 20 0 9 55 37 39 11 10 1 0 1.4615 2.3846 0.2308 1.4103 0.9487 0.032 5.7 9.3 0.9 390 3.52 627 1023
2200 0.279 0.391 94 131 26 2 23 78 90 45 4 5 1 0 2.0889 2.9111 0.5111 1.7333 2 0.0782 18.8 26.2 4.6 225 1.564 376 524
2017 0.179 0.314 64 60 14 2 25 64 89 175 1 8 1 0 0.3657 0.3429 0.1429 0.3657 0.5086 0.0392 8 7.5 3.125 1400 0.314 64 60
1567 0.284 0.371 87 160 28 4 17 72 79 95 10 9 1 0 0.9158 1.6842 0.1789 0.7579 0.8316 0.0412 9.6667 17.7778 1.8889 855 3.71 870 1600
1050 0.247 0.306 65 114 14 9 6 52 36 60 15 4 1 0 1.0833 1.9 0.1 0.8667 0.6 0.0765 16.25 28.5 1.5 240 4.59 975 1710
375 0.237 0.351 23 46 10 1 7 29 35 40 1 2 1 0 0.575 1.15 0.175 0.725 0.875 0.1755 11.5 23 3.5 80 0.351 23 46
355 0.26 0.293 18 66 6 0 4 21 12 26 2 4 1 0 0.6923 2.5385 0.1538 0.8077 0.4615 0.0732 4.5 16.5 1 104 0.586 36 132
300 0.259 0.309 65 144 36 3 21 91 40 149 12 24 0 0 0.4362 0.9664 0.1409 0.6107 0.2685 0.0129 2.7083 6 0.875 3576 3.708 780 1728
230 0.257 0.335 77 122 15 7 3 33 52 92 41 7 0 0 0.837 1.3261 0.0326 0.3587 0.5652 0.0479 11 17.4286 0.4286 644 13.735 3157 5002
150 0.289 0.325 29 46 13 2 5 17 9 24 10 3 0 0 1.2083 1.9167 0.2083 0.7083 0.375 0.1083 9.6667 15.3333 1.6667 72 3.25 290 460
120 0.291 0.341 19 37 5 0 2 11 10 25 2 3 0 0 0.76 1.48 0.08 0.44 0.4 0.1137 6.3333 12.3333 0.6667 75 0.682 38 74
109 0.216 0.341 37 61 7 5 0 19 54 91 29 7 1 0 0.4066 0.6703 0 0.2088 0.5934 0.0487 5.2857 8.7143 0 637 9.889 1073 1769
3453 0.325 0.399 133 216 32 13 17 75 77 62 19 7 1 0 2.1452 3.4839 0.2742 1.2097 1.2419 0.057 19 30.8571 2.4286 434 7.581 2527 4104
3200 0.26 0.332 66 131 20 4 10 77 54 79 6 3 1 0 0.8354 1.6582 0.1266 0.9747 0.6835 0.1107 22 43.6667 3.3333 237 1.992 396 786
2530 0.289 0.319 57 146 19 4 5 68 26 33 5 5 0 1 1.7273 4.4242 0.1515 2.0606 0.7879 0.0638 11.4 29.2 1 165 1.595 285 730
2167 0.213 0.282 48 77 16 2 11 38 35 71 13 10 1 0 0.6761 1.0845 0.1549 0.5352 0.493 0.0282 4.8 7.7 1.1 710 3.666 624 1001
1150 0.286 0.32 63 149 27 4 2 47 27 34 4 13 1 0 1.8529 4.3824 0.0588 1.3824 0.7941 0.0246 4.8462 11.4615 0.1538 442 1.28 252 596
750 0.283 0.337 71 117 13 6 8 54 34 55 14 18 0 0 1.2909 2.1273 0.1455 0.9818 0.6182 0.0187 3.9444 6.5 0.4444 990 4.718 994 1638
500 0.244 0.319 81 132 24 5 27 98 62 125 2 3 0 0 0.648 1.056 0.216 0.784 0.496 0.1063 27 44 9 375 0.638 162 264
395 0.311 0.361 64 125 15 6 1 57 33 38 16 2 0 0 1.6842 3.2895 0.0263 1.5 0.8684 0.1805 32 62.5 0.5 76 5.776 1024 2000
300 0.206 0.262 14 51 18 1 1 28 17 26 0 4 1 0 0.5385 1.9615 0.0385 1.0769 0.6538 0.0655 3.5 12.75 0.25 104 0 0 0
284 0.265 0.35 28 62 11 3 1 25 29 21 4 12 1 0 1.3333 2.9524 0.0476 1.1905 1.381 0.0292 2.3333 5.1667 0.0833 252 1.4 112 248
230 0.238 0.272 53 106 18 3 15 59 22 107 14 8 0 0 0.4953 0.9907 0.1402 0.5514 0.2056 0.034 6.625 13.25 1.875 856 3.808 742 1484
109 0.364 0.364 2 4 1 0 1 1 0 4 0 1 0 0 0.5 1 0.25 0.25 0 0.364 2 4 1 4 0 0 0
5300 0.316 0.397 78 153 35 3 31 100 65 121 6 8 1 0 0.6446 1.2645 0.2562 0.8264 0.5372 0.0496 9.75 19.125 3.875 968 2.382 468 918
3620 0.288 0.339 64 169 35 0 9 68 46 42 2 6 1 0 1.5238 4.0238 0.2143 1.619 1.0952 0.0565 10.6667 28.1667 1.5 252 0.678 128 338
2500 0.268 0.308 52 122 20 0 24 77 25 49 3 7 1 0 1.0612 2.4898 0.4898 1.5714 0.5102 0.044 7.4286 17.4286 3.4286 343 0.924 156 366
2167 0.225 0.312 37 64 12 0 17 48 36 80 1 1 1 0 0.4625 0.8 0.2125 0.6 0.45 0.312 37 64 17 80 0.312 37 64
2150 0.267 0.333 68 130 22 2 20 69 45 77 32 5 0 1 0.8831 1.6883 0.2597 0.8961 0.5844 0.0666 13.6 26 4 385 10.656 2176 4160
1950 0.247 0.343 67 119 15 4 12 49 67 84 6 13 1 0 0.7976 1.4167 0.1429 0.5833 0.7976 0.0264 5.1538 9.1538 0.9231 1092 2.058 402 714
1300 0.285 0.321 67 140 23 2 19 80 26 40 0 4 0 1 1.675 3.5 0.475 2 0.65 0.0802 16.75 35 4.75 160 0 0 0
360 0.245 0.322 19 45 11 1 1 15 18 43 3 16 0 0 0.4419 1.0465 0.0233 0.3488 0.4186 0.0201 1.1875 2.8125 0.0625 688 0.966 57 135
280 0.23 0.257 34 106 23 1 12 53 16 75 3 16 0 0 0.4533 1.4133 0.16 0.7067 0.2133 0.0161 2.125 6.625 0.75 1200 0.771 102 318
255 0.22 0.333 69 110 14 1 23 63 83 128 5 7 0 0 0.5391 0.8594 0.1797 0.4922 0.6484 0.0476 9.8571 15.7143 3.2857 896 1.665 345 550
147 0.242 0.288 35 72 12 4 3 23 15 52 12 19 0 0 0.6731 1.3846 0.0577 0.4423 0.2885 0.0152 1.8421 3.7895 0.1579 988 3.456 420 864
125 0.238 0.336 43 76 19 4 3 34 48 57 10 6 0 0 0.7544 1.3333 0.0526 0.5965 0.8421 0.056 7.1667 12.6667 0.5 342 3.36 430 760
109 0.308 0.31 4 8 1 0 0 3 1 3 0 1 0 0 1.3333 2.6667 0 1 0.3333 0.31 4 8 0 3 0 0 0
3742 0.273 0.33 89 174 42 3 33 108 49 112 20 9 1 0 0.7946 1.5536 0.2946 0.9643 0.4375 0.0367 9.8889 19.3333 3.6667 1008 6.6 1780 3480
3633 0.252 0.308 58 108 18 2 20 65 31 70 12 14 1 0 0.8286 1.5429 0.2857 0.9286 0.4429 0.022 4.1429 7.7143 1.4286 980 3.696 696 1296
2983 0.295 0.354 88 188 41 11 9 69 57 86 53 16 0 1 1.0233 2.186 0.1047 0.8023 0.6628 0.0221 5.5 11.75 0.5625 1376 18.762 4664 9964
2383 0.282 0.342 110 181 40 10 17 60 55 135 33 2 1 0 0.8148 1.3407 0.1259 0.4444 0.4074 0.171 55 90.5 8.5 270 11.286 3630 5973
2300 0.262 0.326 75 149 27 4 28 86 56 109 7 3 1 0 0.6881 1.367 0.2569 0.789 0.5138 0.1087 25 49.6667 9.3333 327 2.282 525 1043
1375 0.25 0.342 37 72 15 0 12 48 36 76 4 3 1 0 0.4868 0.9474 0.1579 0.6316 0.4737 0.114 12.3333 24 4 228 1.368 148 288
1000 0.244 0.271 22 71 17 0 5 36 11 45 0 5 0 1 0.4889 1.5778 0.1111 0.8 0.2444 0.0542 4.4 14.2 1 225 0 0 0
1000 0.234 0.274 41 104 18 3 0 29 24 107 7 20 0 1 0.3832 0.972 0 0.271 0.2243 0.0137 2.05 5.2 0 2140 1.918 287 728
900 0.216 0.318 20 40 5 1 1 21 29 21 0 4 1 0 0.9524 1.9048 0.0476 1 1.381 0.0795 5 10 0.25 84 0 0 0
775 0.25 0.364 27 60 12 1 2 24 44 44 0 1 1 0 0.6136 1.3636 0.0455 0.5455 1 0.364 27 60 2 44 0 0 0
600 0.243 0.286 27 85 6 2 0 27 22 49 5 23 1 0 0.551 1.7347 0 0.551 0.449 0.0124 1.1739 3.6957 0 1127 1.43 135 425
387 0.256 0.353 64 116 30 1 17 68 68 84 0 6 0 0 0.7619 1.381 0.2024 0.8095 0.8095 0.0588 10.6667 19.3333 2.8333 504 0 0 0
117 0.275 0.361 17 44 7 0 4 20 19 43 0 15 0 0 0.3953 1.0233 0.093 0.4651 0.4419 0.0241 1.1333 2.9333 0.2667 645 0 0 0
2700 0.246 0.293 58 144 22 1 18 66 33 104 5 18 1 0 0.5577 1.3846 0.1731 0.6346 0.3173 0.0163 3.2222 8 1 1872 1.465 290 720
2317 0.238 0.322 48 85 11 1 16 50 44 62 3 6 1 0 0.7742 1.371 0.2581 0.8065 0.7097 0.0537 8 14.1667 2.6667 372 0.966 144 255
1650 0.296 0.352 92 179 28 8 2 50 52 74 48 6 0 1 1.2432 2.4189 0.027 0.6757 0.7027 0.0587 15.3333 29.8333 0.3333 444 16.896 4416 8592
640 0.263 0.321 32 65 10 2 2 26 11 55 7 4 0 0 0.5818 1.1818 0.0364 0.4727 0.2 0.0802 8 16.25 0.5 220 2.247 224 455
190 0.258 0.295 38 94 14 1 3 20 14 26 4 12 0 0 1.4615 3.6154 0.1154 0.7692 0.5385 0.0246 3.1667 7.8333 0.25 312 1.18 152 376
170 0.2 0.258 11 23 7 0 1 13 8 34 1 4 0 0 0.3235 0.6765 0.0294 0.3824 0.2353 0.0645 2.75 5.75 0.25 136 0.258 11 23
135 0.211 0.274 5 12 2 0 0 3 3 2 0 5 0 0 2.5 6 0 1.5 1.5 0.0548 1 2.4 0 10 0 0 0
130 0.203 0.313 7 14 4 0 0 3 10 17 0 2 0 0 0.4118 0.8235 0 0.1765 0.5882 0.1565 3.5 7 0 34 0 0 0
130 0.293 0.354 8 17 7 0 0 9 6 12 1 2 0 0 0.6667 1.4167 0 0.75 0.5 0.177 4 8.5 0 24 0.354 8 17
3650 0.285 0.323 63 159 27 0 25 86 32 62 2 11 1 0 1.0161 2.5645 0.4032 1.3871 0.5161 0.0294 5.7273 14.4545 2.2727 682 0.646 126 318
3575 0.304 0.345 85 198 38 2 10 56 41 38 31 11 1 0 2.2368 5.2105 0.2632 1.4737 1.0789 0.0314 7.7273 18 0.9091 418 10.695 2635 6138
3500 0.268 0.359 102 163 20 6 5 50 83 68 51 4 1 0 1.5 2.3971 0.0735 0.7353 1.2206 0.0898 25.5 40.75 1.25 272 18.309 5202 8313
2500 0.259 0.358 71 106 22 5 18 66 62 86 0 7 1 0 0.8256 1.2326 0.2093 0.7674 0.7209 0.0511 10.1429 15.1429 2.5714 602 0 0 0
1900 0.273 0.284 52 143 20 3 3 49 11 38 21 22 0 1 1.3684 3.7632 0.0789 1.2895 0.2895 0.0129 2.3636 6.5 0.1364 836 5.964 1092 3003
1350 0.241 0.299 42 111 25 0 18 74 32 86 1 7 1 0 0.4884 1.2907 0.2093 0.8605 0.3721 0.0427 6 15.8571 2.5714 602 0.299 42 111
740 0.284 0.367 92 172 25 1 23 100 80 67 2 19 0 1 1.3731 2.5672 0.3433 1.4925 1.194 0.0193 4.8421 9.0526 1.2105 1273 0.734 184 344
650 0.246 0.31 25 41 13 0 5 22 15 42 0 5 0 1 0.5952 0.9762 0.119 0.5238 0.3571 0.062 5 8.2 1 210 0 0 0
620 0.318 0.453 104 178 31 2 32 109 138 112 1 3 0 0 0.9286 1.5893 0.2857 0.9732 1.2321 0.151 34.6667 59.3333 10.6667 336 0.453 104 178
565 0.274 0.304 72 161 14 13 0 49 26 58 26 3 0 0 1.2414 2.7759 0 0.8448 0.4483 0.1013 24 53.6667 0 174 7.904 1872 4186
235 0.241 0.313 37 55 2 3 0 18 20 21 11 11 0 0 1.7619 2.619 0 0.8571 0.9524 0.0285 3.3636 5 0 231 3.443 407 605
225 0.165 0.218 15 19 4 1 1 5 7 25 0 1 0 0 0.6 0.76 0.04 0.2 0.28 0.218 15 19 1 25 0 0 0
200 0.281 0.386 37 63 16 3 6 31 38 40 1 11 0 0 0.925 1.575 0.15 0.775 0.95 0.0351 3.3636 5.7273 0.5455 440 0.386 37 63
145 0.251 0.361 42 61 10 2 3 25 39 48 14 3 0 0 0.875 1.2708 0.0625 0.5208 0.8125 0.1203 14 20.3333 1 144 5.054 588 854
120 0.217 0.25 4 5 0 0 0 0 1 7 1 2 0 0 0.5714 0.7143 0 0 0.1429 0.125 2 2.5 0 14 0.25 4 5
109 0.225 0.333 71 8 16 4 0 3 14 12 25 1 0 1 5.9167 0.6667 0 0.25 1.1667 0.333 71 8 0 12 8.325 1775 200
4200 0.301 0.36 79 166 34 3 21 96 52 66 2 9 1 0 1.197 2.5152 0.3182 1.4545 0.7879 0.04 8.7778 18.4444 2.3333 594 0.72 158 332
3417 0.259 0.322 65 135 32 1 16 74 49 46 6 3 1 0 1.413 2.9348 0.3478 1.6087 1.0652 0.1073 21.6667 45 5.3333 138 1.932 390 810
3100 0.255 0.327 77 129 40 2 10 61 58 75 2 2 1 0 1.0267 1.72 0.1333 0.8133 0.7733 0.1635 38.5 64.5 5 150 0.654 154 258
1650 0.301 0.333 47 113 22 3 2 47 20 35 5 6 1 0 1.3429 3.2286 0.0571 1.3429 0.5714 0.0555 7.8333 18.8333 0.3333 210 1.665 235 565
1150 0.272 0.338 59 132 19 2 9 62 47 38 26 18 0 1 1.5526 3.4737 0.2368 1.6316 1.2368 0.0188 3.2778 7.3333 0.5 684 8.788 1534 3432
900 0.25 0.279 11 57 10 0 1 23 11 46 0 2 1 0 0.2391 1.2391 0.0217 0.5 0.2391 0.1395 5.5 28.5 0.5 92 0 0 0
740 0.277 0.33 34 74 18 2 13 41 17 52 1 4 0 1 0.6538 1.4231 0.25 0.7885 0.3269 0.0825 8.5 18.5 3.25 208 0.33 34 74
575 0.28 0.336 41 77 22 1 4 23 23 44 14 11 0 0 0.9318 1.75 0.0909 0.5227 0.5227 0.0305 3.7273 7 0.3636 484 4.704 574 1078
425 0.252 0.301 15 35 5 1 5 22 10 23 1 1 0 1 0.6522 1.5217 0.2174 0.9565 0.4348 0.301 15 35 5 23 0.301 15 35
400 0.188 0.243 20 36 9 1 2 18 15 40 2 3 1 0 0.5 0.9 0.05 0.45 0.375 0.081 6.6667 12 0.6667 120 0.486 40 72
287 0.277 0.32 24 51 9 0 2 13 11 42 15 5 0 0 0.5714 1.2143 0.0476 0.3095 0.2619 0.064 4.8 10.2 0.4 210 4.8 360 765
275 0.261 0.289 86 164 28 9 8 64 24 99 20 4 0 0 0.8687 1.6566 0.0808 0.6465 0.2424 0.0722 21.5 41 2 396 5.78 1720 3280
183 0.217 0.283 45 80 16 4 5 34 30 75 17 17 0 0 0.6 1.0667 0.0667 0.4533 0.4 0.0166 2.6471 4.7059 0.2941 1275 4.811 765 1360
170 0.251 0.315 22 58 8 0 3 31 23 42 2 7 0 0 0.5238 1.381 0.0714 0.7381 0.5476 0.045 3.1429 8.2857 0.4286 294 0.63 44 116
153 0.216 0.267 20 51 7 0 1 17 16 45 3 13 0 0 0.4444 1.1333 0.0222 0.3778 0.3556 0.0205 1.5385 3.9231 0.0769 585 0.801 60 153
109 0.271 0.328 74 161 22 6 12 58 49 133 23 18 1 0 0.5564 1.2105 0.0902 0.4361 0.3684 0.0182 4.1111 8.9444 0.6667 2394 7.544 1702 3703
3100 0.284 0.373 72 131 20 1 20 89 67 48 4 9 1 0 1.5 2.7292 0.4167 1.8542 1.3958 0.0414 8 14.5556 2.2222 432 1.492 288 524
2992 0.319 0.352 92 195 29 6 15 89 31 78 11 7 1 0 1.1795 2.5 0.1923 1.141 0.3974 0.0503 13.1429 27.8571 2.1429 546 3.872 1012 2145
2800 0.277 0.385 84 148 34 1 29 93 95 117 5 1 1 0 0.7179 1.265 0.2479 0.7949 0.812 0.385 84 148 29 117 1.925 420 740
2500 0.311 0.336 54 137 28 1 10 69 14 22 1 9 1 0 2.4545 6.2273 0.4545 3.1364 0.6364 0.0373 6 15.2222 1.1111 198 0.336 54 137
1933 0.265 0.31 52 108 23 3 8 42 26 72 11 10 0 1 0.7222 1.5 0.1111 0.5833 0.3611 0.031 5.2 10.8 0.8 720 3.41 572 1188
1200 0.279 0.322 36 102 20 0 6 36 21 55 1 12 1 0 0.6545 1.8545 0.1091 0.6545 0.3818 0.0268 3 8.5 0.5 660 0.322 36 102
1075 0.31 0.363 79 137 27 8 18 74 34 79 13 8 0 1 1 1.7342 0.2278 0.9367 0.4304 0.0454 9.875 17.125 2.25 632 4.719 1027 1781
950 0.286 0.361 34 73 14 1 2 19 30 21 2 4 0 1 1.619 3.4762 0.0952 0.9048 1.4286 0.0902 8.5 18.25 0.5 84 0.722 68 146
450 0.303 0.401 21 50 10 1 6 23 24 25 0 3 0 0 0.84 2 0.24 0.92 0.96 0.1337 7 16.6667 2 75 0 0 0
360 0.281 0.351 78 159 24 6 1 50 59 40 25 19 0 0 1.95 3.975 0.025 1.25 1.475 0.0185 4.1053 8.3684 0.0526 760 8.775 1950 3975
175 0.286 0.378 35 57 7 2 5 20 30 35 5 8 0 0 1 1.6286 0.1429 0.5714 0.8571 0.0472 4.375 7.125 0.625 280 1.89 175 285
155 0.283 0.327 15 39 7 1 7 26 9 31 3 2 0 0 0.4839 1.2581 0.2258 0.8387 0.2903 0.1635 7.5 19.5 3.5 62 0.981 45 117
5000 0.307 0.357 110 203 44 5 25 116 56 91 16 8 0 1 1.2088 2.2308 0.2747 1.2747 0.6154 0.0446 13.75 25.375 3.125 728 5.712 1760 3248
3250 0.268 0.4 105 126 17 1 18 57 96 73 58 9 1 0 1.4384 1.726 0.2466 0.7808 1.3151 0.0444 11.6667 14 2 657 23.2 6090 7308
2825 0.201 0.33 62 97 22 0 22 75 93 116 2 5 1 0 0.5345 0.8362 0.1897 0.6466 0.8017 0.066 12.4 19.4 4.4 580 0.66 124 194
2600 0.276 0.346 86 158 33 0 25 85 58 113 6 2 1 0 0.7611 1.3982 0.2212 0.7522 0.5133 0.173 43 79 12.5 226 2.076 516 948
2050 0.274 0.312 50 125 31 1 6 67 22 70 2 16 0 1 0.7143 1.7857 0.0857 0.9571 0.3143 0.0195 3.125 7.8125 0.375 1120 0.624 100 250
1583 0.295 0.383 76 144 25 1 20 90 72 67 0 2 1 0 1.1343 2.1493 0.2985 1.3433 1.0746 0.1915 38 72 10 134 0 0 0
1150 0.063 0.063 0 1 0 0 0 1 0 2 0 1 1 0 0 0.5 0 0.5 0 0.063 0 1 0 2 0 0 0
1100 0.238 0.29 38 70 14 4 0 28 18 43 20 4 1 0 0.8837 1.6279 0 0.6512 0.4186 0.0725 9.5 17.5 0 172 5.8 760 1400
760 0.226 0.286 15 30 8 1 0 13 12 14 0 6 0 1 1.0714 2.1429 0 0.9286 0.8571 0.0477 2.5 5 0 84 0 0 0
525 0.261 0.321 16 53 4 0 1 17 16 28 0 7 1 0 0.5714 1.8929 0.0357 0.6071 0.5714 0.0459 2.2857 7.5714 0.1429 196 0 0 0
500 0.249 0.385 32 51 10 1 1 20 47 25 2 4 1 0 1.28 2.04 0.04 0.8 1.88 0.0962 8 12.75 0.25 100 0.77 64 102
205 0.249 0.336 33 46 8 0 3 21 23 42 12 4 0 0 0.7857 1.0952 0.0714 0.5 0.5476 0.084 8.25 11.5 0.75 168 4.032 396 552
185 0.238 0.289 21 56 5 1 0 21 14 37 3 12 0 0 0.5676 1.5135 0 0.5676 0.3784 0.0241 1.75 4.6667 0 444 0.867 63 168
115 0.235 0.268 9 16 5 0 2 4 3 11 3 2 0 0 0.8182 1.4545 0.1818 0.3636 0.2727 0.134 4.5 8 1 22 0.804 27 48
3750 0.256 0.338 52 95 13 1 27 69 43 57 2 7 1 0 0.9123 1.6667 0.4737 1.2105 0.7544 0.0483 7.4286 13.5714 3.8571 399 0.676 104 190
2188 0.248 0.3 58 139 29 3 17 88 44 61 0 6 1 0 0.9508 2.2787 0.2787 1.4426 0.7213 0.05 9.6667 23.1667 2.8333 366 0 0 0
2167 0.254 0.332 95 160 34 6 3 57 72 63 28 19 0 1 1.5079 2.5397 0.0476 0.9048 1.1429 0.0175 5 8.4211 0.1579 1197 9.296 2660 4480
2167 0.194 0.286 38 63 8 1 8 32 34 49 0 7 1 0 0.7755 1.2857 0.1633 0.6531 0.6939 0.0409 5.4286 9 1.1429 343 0 0 0
2050 0.327 0.399 76 179 42 1 22 100 71 82 18 5 0 1 0.9268 2.1829 0.2683 1.2195 0.8659 0.0798 15.2 35.8 4.4 410 7.182 1368 3222
1445 0.244 0.337 64 99 14 4 27 77 53 117 0 6 0 1 0.547 0.8462 0.2308 0.6581 0.453 0.0562 10.6667 16.5 4.5 702 0 0 0
875 0.305 0.347 35 54 6 2 6 23 10 27 16 3 0 1 1.2963 2 0.2222 0.8519 0.3704 0.1157 11.6667 18 2 81 5.552 560 864
560 0.307 0.405 98 167 35 1 14 52 84 72 0 16 0 0 1.3611 2.3194 0.1944 0.7222 1.1667 0.0253 6.125 10.4375 0.875 1152 0 0 0
360 0.23 0.302 42 98 16 4 1 41 45 37 7 14 0 0 1.1351 2.6486 0.027 1.1081 1.2162 0.0216 3 7 0.0714 518 2.114 294 686
162 0.247 0.286 16 44 13 0 2 22 9 38 0 8 0 0 0.4211 1.1579 0.0526 0.5789 0.2368 0.0357 2 5.5 0.25 304 0 0 0
133 0.205 0.272 11 23 2 0 4 9 11 24 0 3 0 0 0.4583 0.9583 0.1667 0.375 0.4583 0.0907 3.6667 7.6667 1.3333 72 0 0 0
109 0.216 0.285 38 87 12 0 19 51 35 117 0 3 1 0 0.3248 0.7436 0.1624 0.4359 0.2991 0.095 12.6667 29 6.3333 351 0 0 0
4300 0.266 0.359 115 152 32 1 44 122 78 152 26 10 1 0 0.7566 1 0.2895 0.8026 0.5132 0.0359 11.5 15.2 4.4 1520 9.334 2990 3952
3850 0.322 0.389 115 203 49 3 26 88 68 72 4 13 0 1 1.5972 2.8194 0.3611 1.2222 0.9444 0.0299 8.8462 15.6154 2 936 1.556 460 812
2387 0.341 0.408 108 201 27 3 15 78 65 78 36 15 1 0 1.3846 2.5769 0.1923 1 0.8333 0.0272 7.2 13.4 1 1170 14.688 3888 7236
950 0.278 0.377 76 113 17 2 17 49 58 70 1 1 1 0 1.0857 1.6143 0.2429 0.7 0.8286 0.377 76 113 17 70 0.377 76 113
675 0.271 0.339 21 54 8 1 2 20 21 25 2 12 1 0 0.84 2.16 0.08 0.8 0.84 0.0282 1.75 4.5 0.1667 300 0.678 42 108
